x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.462,1.135824576573e-01,1.879966566708e+00,-4.924972853774e-01,1.709736113650e+00,5.346256735090e-02,1.141834089517e+00,7.110751858279e-01,4.306623662855e-01,1.411637629740e+00,-2.000127901405e-01
0.130,1.719094015050e+00,-5.984681634494e-02,-6.869707773055e-01,-3.034054455800e-01,5.376455962518e-01,1.165657407682e+00,1.083105814012e+00,4.507686448836e-01,-3.424078280068e-01,-7.302622685342e-01
0.140,2.787292492577e+00,4.639792365125e-02,-6.712784715500e-01,2.289121773889e-01,1.591289895955e+00,2.251325787008e+00,1.617226021665e+00,3.413993902866e-01,-6.338888510435e-01,-5.032079019509e-01
0.950,-5.475407446026e-01,-6.563840123320e-01,-6.764065091250e-01,-6.646341896562e-01,-6.139763516120e-01,-5.275437857544e-01,-4.051212621162e-01,-2.343760903083e-01,-4.146065432040e-02,1.689003025984e-01
0.796,-5.473239821451e-01,-6.512392991993e-01,-6.605178708274e-01,-6.626758589448e-01,-6.816275396982e-01,-7.162498604060e-01,-7.273792438412e-01,-7.076869747008e-01,-6.946011307092e-01,-7.060953532328e-01
0.268,2.136604124420e-02,-5.869929607121e-01,-4.130465333964e-03,-1.310365402956e-01,-6.987385547645e-01,-3.196938008258e-01,2.066158017505e-01,-2.874295616188e-01,-7.256304100300e-01,-1.264878174066e-01
0.270,-9.246596603723e-02,-5.964639562562e-01,-1.298915428204e-01,-2.554903570996e-01,-7.058163814963e-01,-3.715138955205e-01,2.584441671771e-02,-4.086859107060e-01,-7.178308194479e-01,-2.009336818749e-01
0.376,-4.689149109852e-02,6.375438705737e-02,1.069422915418e-01,-6.428388957129e-01,6.003303619787e-01,-3.179057481852e-01,-2.840494603708e-01,5.796394394761e-01,-6.935734552150e-01,2.585515716730e-01
0.336,1.403312462624e+00,8.232195526746e-01,2.689042150033e+00,-5.120051115536e-01,1.637226921302e+00,3.284443285196e+00,-5.441194364506e-01,1.736498701203e+00,3.188959670968e+00,-5.882305309609e-01
0.656,-5.319488463430e-01,-4.306172127835e-01,-3.759623172104e-01,-6.969116242788e-01,-5.007373159021e-01,-4.486208126154e-01,-7.286883884344e-01,-4.797936612829e-01,-4.859592719004e-01,-7.315457874441e-01
0.994,-5.475789355631e-01,-6.579937483610e-01,-6.880098500558e-01,-7.052381244952e-01,-7.124010625516e-01,-7.227755091500e-01,-7.292688582633e-01,-7.301194630872e-01,-7.326767898710e-01,-7.324161683926e-01
0.964,-5.475594154925e-01,-6.571418612958e-01,-6.816533775258e-01,-6.821101741878e-01,-6.538803312591e-01,-6.010670106140e-01,-5.163490722221e-01,-3.851263381991e-01,-2.199503893941e-01,-1.426474316852e-02
0.686,-5.463020259143e-01,-6.364793972060e-01,-6.476522256202e-01,-6.966958019944e-01,-7.036646722385e-01,-6.846876739256e-01,-7.151820409100e-01,-7.261522671676e-01,-6.967000863184e-01,-7.112621585723e-01
0.092,-4.488405255454e-01,-6.086315854297e-01,-6.746594149894e-01,-7.051525088228e-01,-7.048264145831e-01,-6.942350740412e-01,-6.775788088061e-01,-6.603603422943e-01,-6.576837416983e-01,-6.659209248533e-01
0.266,6.204225500660e-01,-5.238583225243e-01,6.872360006816e-01,4.969066500977e-01,-6.705928670228e-01,3.265938670849e-02,1.169327257735e+00,2.617231627264e-01,-7.305990072710e-01,3.896252439849e-01
