x,DLC_mode1,DLC_mode2,DLC_mode3,DLC_mode4,DLC_mode5,DLC_mode6,DLC_mode7,DLC_mode8,DLC_mode9,DLC_mode10
0.6195,-7.732043648496e-01,1.226503962451e+00,7.925899784074e-01,-1.118539658264e+00,1.564269534629e+00,-6.712019203568e-01,-1.299964682917e-01,1.293303251890e+00,-1.444255131635e+00,9.809005684639e-01
0.8727,-9.927516112375e-01,-1.092197054325e+00,-7.099900326439e-01,1.337527465724e-01,1.047337872124e+00,1.640238833151e+00,1.347627068169e+00,3.971504072980e-01,-7.267478178048e-01,-1.363748314427e+00
0.8508,-9.899895480737e-01,-1.018728324568e+00,-3.676800938939e-01,7.607043128582e-01,1.564269534629e+00,1.492924176587e+00,3.337574165838e-01,-9.495636496034e-01,-1.446520381426e+00,-7.961579994593e-01
0.4128,2.573716298806e-02,9.438498861136e-01,-2.152079449629e-01,-2.778307232888e-01,1.376923816224e+00,-1.343709607846e+00,1.583705875631e+00,-7.509645264766e-01,1.847323528471e-01,7.619718311124e-01
0.7672,-9.624485636540e-01,-4.674303274257e-01,1.248545874993e+00,1.584407441933e+00,-2.843441175864e-01,-1.337175744160e+00,8.660424787870e-02,1.332657828815e+00,1.139460491581e-01,-1.376866532249e+00
0.2065,1.470449853577e+00,-1.179214998465e+00,-2.772786844597e-01,1.095877009762e+00,5.093791233997e-01,-1.036087149093e+00,-1.144679298773e+00,4.806923944868e-01,1.451434648769e+00,2.950988779270e-01
0.6187,-7.721151244607e-01,1.227418367327e+00,7.682689921500e-01,-1.106484449438e+00,1.564269534629e+00,-7.077978932932e-01,-8.428757744332e-02,1.250789852518e+00,-1.449279870334e+00,1.025092973510e+00
0.2653,1.007089409774e+00,-9.862892373661e-01,8.710041050225e-01,5.891292387233e-01,-1.250590032936e+00,-2.116393637414e-01,1.583705875631e+00,1.611631369697e-01,-1.450979855703e+00,1.778519477667e-01
0.1483,1.470449853577e+00,-8.061804730261e-01,-1.213094891150e+00,-4.493649330805e-01,4.390940745398e-01,6.632404970598e-01,-8.176063753928e-02,-1.050953232906e+00,-1.446587387498e+00,-8.857953570851e-01
0.0070,1.470449853577e+00,1.386719192577e+00,1.289003337510e+00,1.206371809822e+00,1.066871549440e+00,1.004517394221e+00,8.347437561550e-01,6.845691249006e-01,5.475436284928e-01,3.890171146644e-01
0.3376,6.184687088163e-01,-4.475397965538e-02,1.286896935718e+00,-1.169504439574e+00,5.122331239153e-01,1.640238833151e+00,-1.298047648386e+00,5.614291675896e-01,1.413725489002e+00,-1.358034887895e+00
