x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.462,-1.135824576412e-01,-1.879966566704e+00,4.924972853518e-01,-1.709736113599e+00,-5.346256739771e-02,-1.141834089471e+00,-7.110751858255e-01,-4.306623663116e-01,-1.411637629723e+00,2.000127898959e-01
0.130,-1.719094015024e+00,5.984681642468e-02,6.869707773389e-01,3.034054456411e-01,-5.376455962459e-01,-1.165657407661e+00,-1.083105813990e+00,-4.507686448747e-01,3.424078279853e-01,7.302622687605e-01
0.140,-2.787292492618e+00,-4.639792369189e-02,6.712784715227e-01,-2.289121772830e-01,-1.591289895890e+00,-2.251325787054e+00,-1.617226021695e+00,-3.413993903094e-01,6.338888510576e-01,5.032079021993e-01
0.950,5.475407446063e-01,6.563840122513e-01,6.764065091040e-01,6.646341898290e-01,6.139763516909e-01,5.275437857067e-01,4.051212621446e-01,2.343760902855e-01,4.146065429615e-02,-1.689003027856e-01
0.796,5.473239821744e-01,6.512392991849e-01,6.605178708201e-01,6.626758589353e-01,6.816275396144e-01,7.162498604518e-01,7.273792438568e-01,7.076869746623e-01,6.946011307030e-01,7.060953530611e-01
0.268,-2.136604129059e-02,5.869929606225e-01,4.130465357643e-03,1.310365404393e-01,6.987385547103e-01,3.196938008066e-01,-2.066158017220e-01,2.874295616577e-01,7.256304100060e-01,1.264878176070e-01
0.270,9.246596608058e-02,5.964639561860e-01,1.298915428025e-01,2.554903572425e-01,7.058163815314e-01,3.715138955586e-01,-2.584441667036e-02,4.086859107124e-01,7.178308194392e-01,2.009336818297e-01
0.376,4.689149111419e-02,-6.375438698893e-02,-1.069422915361e-01,6.428388957805e-01,-6.003303619140e-01,3.179057481424e-01,2.840494603655e-01,-5.796394394793e-01,6.935734552142e-01,-2.585515714243e-01
0.336,-1.403312462640e+00,-8.232195526934e-01,-2.689042150033e+00,5.120051114907e-01,-1.637226921381e+00,-3.284443285240e+00,5.441194364005e-01,-1.736498701210e+00,-3.188959670984e+00,5.882305309891e-01
0.656,5.319488463880e-01,4.306172128189e-01,3.759623172338e-01,6.969116241232e-01,5.007373159058e-01,4.486208126521e-01,7.286883884083e-01,4.797936612710e-01,4.859592718892e-01,7.315457875845e-01
0.994,5.475789355668e-01,6.579937483594e-01,6.880098500237e-01,7.052381244225e-01,7.124010625968e-01,7.227755092191e-01,7.292688582968e-01,7.301194630594e-01,7.326767898845e-01,7.324161682274e-01
0.964,5.475594154458e-01,6.571418613321e-01,6.816533775462e-01,6.821101741668e-01,6.538803312149e-01,6.010670105841e-01,5.163490722273e-01,3.851263381954e-01,2.199503893743e-01,1.426474318612e-02
0.686,5.463020259037e-01,6.364793972441e-01,6.476522256075e-01,6.966958020105e-01,7.036646723226e-01,6.846876738957e-01,7.151820408618e-01,7.261522671787e-01,6.967000862906e-01,7.112621583385e-01
0.092,4.488405255730e-01,6.086315855189e-01,6.746594149820e-01,7.051525089851e-01,7.048264145847e-01,6.942350740827e-01,6.775788088415e-01,6.603603423251e-01,6.576837417088e-01,6.659209250623e-01
0.266,-6.204225500213e-01,5.238583224816e-01,-6.872360007014e-01,-4.969066500331e-01,6.705928670403e-01,-3.265938670485e-02,-1.169327257720e+00,-2.617231627257e-01,7.305990072494e-01,-3.896252441077e-01
0.700,4.849677547913e-01,-4.674782137580e-01,-1.708412759208e+00,-1.085185097909e-01,5.171726472006e-01,-1.282226725143e+00,-7.101231181314e-01,7.302018322187e-01,-7.306976698539e-01,-1.292459100489e+00
0.318,5.289367717250e-01,6.480903306818e-01,6.568797581608e-01,6.993903018183e-01,7.011518220469e-01,6.840245513512e-01,7.180132806887e-01,7.236953109561e-01,6.951149965526e-01,7.158659251106e-01
0.698,4.733559146380e-01,-6.641131920860e-01,-2.078394140583e+00,-1.801911339897e-01,4.438210512602e-01,-1.647077158804e+00,-8.358787583789e-01,7.243316915055e-01,-1.088955602435e+00,-1.511885117980e+00
0.986,5.475788326118e-01,6.579890151038e-01,6.879727325658e-01,7.050956003175e-01,7.120193292147e-01,7.219323100509e-01,7.276965522753e-01,7.273935866558e-01,7.283240430287e-01,7.258791205619e-01
0.782,5.358670410169e-01,3.631560329472e-01,-4.245677321229e-01,-8.009079576698e-01,-1.084010401971e-01,6.801875166071e-01,3.991208652258e-01,-4.628243508857e-01,-4.995820232204e-01,3.420635106089e-01
0.234,5.208249431708e-01,6.576346596770e-01,6.674680232623e-01,6.734963072274e-01,7.008264275430e-01,7.221648522558e-01,7.074310107933e-01,6.914919181182e-01,7.121331713464e-01,7.323455359546e-01
0.724,5.239607419968e-01,1.860834696064e-01,-5.324654125362e-01,-2.690923441259e-02,7.106653810114e-01,9.441601673451e-02,-3.770462713639e-01,4.024275131113e-01,6.312666950926e-01,-2.410540203034e-01
0.142,-1.970474917934e+00,1.512539067257e-01,6.679410020223e-01,-5.691686253857e-02,-1.093036201578e+00,-1.535162611712e+00,-9.753163754282e-01,2.086024013888e-02,6.963693532554e-01,4.736681760648e-01
0.150,-2.269565876760e+00,1.979393837154e-01,6.132251064826e-01,-4.164308322486e-01,-1.578908594974e+00,-1.790706533087e+00,-8.243189467256e-01,3.409709692011e-01,7.080121908344e-01,-1.054836085386e-01
0.640,4.258232799825e-01,-9.717942157500e-01,-1.152068331476e+00,7.044994868831e-01,-1.111614914654e+00,-5.302452578537e-01,5.569162096069e-01,-1.448098948213e+00,2.665247126448e-02,1.526273582466e-01
0.206,5.400524168724e-01,6.579589469867e-01,6.847540121887e-01,6.972359278520e-01,7.061545200095e-01,7.216808284379e-01,7.285272269415e-01,7.239041626676e-01,7.230310636905e-01,7.264327077863e-01
0.440,-2.105697820757e-02,-1.102328810353e+00,3.133689306125e-01,-6.583669135819e-01,-5.234402812604e-01,1.442887161361e-01,-1.224660797100e+00,6.755604235924e-01,-1.499756921016e+00,6.261056640461e-01
