x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.462,1.135824576573e-01,1.879966566708e+00,-4.924972853774e-01,1.709736113650e+00,5.346256735111e-02,1.141834089517e+00,7.110751858285e-01,4.306623662859e-01,1.411637629740e+00,-2.000127901403e-01,1.142776000000e-02
0.130,1.719094015051e+00,-5.984681634506e-02,-6.869707773055e-01,-3.034054455799e-01,5.376455962516e-01,1.165657407682e+00,1.083105814013e+00,4.507686448831e-01,-3.424078280068e-01,-7.302622685342e-01,8.590945000000e-03
0.140,2.787292492577e+00,4.639792365136e-02,-6.712784715500e-01,2.289121773891e-01,1.591289895956e+00,2.251325787007e+00,1.617226021666e+00,3.413993902866e-01,-6.338888510435e-01,-5.032079019509e-01,1.307260000000e-02
0.950,-5.475407446026e-01,-6.563840123320e-01,-6.764065091250e-01,-6.646341896562e-01,-6.139763516120e-01,-5.275437857545e-01,-4.051212621163e-01,-2.343760903083e-01,-4.146065432029e-02,1.689003025987e-01,5.293878000000e-03
0.796,-5.473239821451e-01,-6.512392991993e-01,-6.605178708274e-01,-6.626758589448e-01,-6.816275396982e-01,-7.162498604060e-01,-7.273792438413e-01,-7.076869747008e-01,-6.946011307092e-01,-7.060953532328e-01,1.481688000000e-04
0.268,2.136604124405e-02,-5.869929607121e-01,-4.130465334154e-03,-1.310365402958e-01,-6.987385547645e-01,-3.196938008258e-01,2.066158017504e-01,-2.874295616188e-01,-7.256304100300e-01,-1.264878174064e-01,3.622794000000e-03
0.270,-9.246596603707e-02,-5.964639562562e-01,-1.298915428202e-01,-2.554903570996e-01,-7.058163814963e-01,-3.715138955205e-01,2.584441671774e-02,-4.086859107060e-01,-7.178308194480e-01,-2.009336818747e-01,2.922637000000e-03
0.376,-4.689149109870e-02,6.375438705734e-02,1.069422915416e-01,-6.428388957129e-01,6.003303619787e-01,-3.179057481853e-01,-2.840494603708e-01,5.796394394763e-01,-6.935734552150e-01,2.585515716728e-01,5.293878000000e-03
0.336,1.403312462625e+00,8.232195526746e-01,2.689042150033e+00,-5.120051115536e-01,1.637226921302e+00,3.284443285195e+00,-5.441194364507e-01,1.736498701203e+00,3.188959670968e+00,-5.882305309608e-01,1.688323000000e-02
0.656,-5.319488463430e-01,-4.306172127834e-01,-3.759623172104e-01,-6.969116242788e-01,-5.007373159021e-01,-4.486208126154e-01,-7.286883884344e-01,-4.797936612829e-01,-4.859592719004e-01,-7.315457874441e-01,1.300109000000e-03
0.994,-5.475789355631e-01,-6.579937483610e-01,-6.880098500558e-01,-7.052381244952e-01,-7.124010625516e-01,-7.227755091500e-01,-7.292688582633e-01,-7.301194630872e-01,-7.326767898710e-01,-7.324161683926e-01,1.765334000000e-03
0.964,-5.475594154925e-01,-6.571418612958e-01,-6.816533775258e-01,-6.821101741878e-01,-6.538803312591e-01,-6.010670106140e-01,-5.163490722221e-01,-3.851263381991e-01,-2.199503893941e-01,-1.426474316841e-02,9.938079000000e-03
0.686,-5.463020259143e-01,-6.364793972060e-01,-6.476522256202e-01,-6.966958019944e-01,-7.036646722385e-01,-6.846876739256e-01,-7.151820409100e-01,-7.261522671676e-01,-6.967000863184e-01,-7.112621585723e-01,1.481688000000e-04
0.092,-4.488405255453e-01,-6.086315854297e-01,-6.746594149894e-01,-7.051525088228e-01,-7.048264145831e-01,-6.942350740412e-01,-6.775788088061e-01,-6.603603422943e-01,-6.576837416983e-01,-6.659209248533e-01,3.308325000000e-04
0.266,6.204225500664e-01,-5.238583225244e-01,6.872360006817e-01,4.969066500977e-01,-6.705928670228e-01,3.265938670857e-02,1.169327257736e+00,2.617231627263e-01,-7.305990072710e-01,3.896252439850e-01,7.374760000000e-03
0.700,-4.849677548387e-01,4.674782137254e-01,1.708412759195e+00,1.085185098800e-01,-5.171726472611e-01,1.282226725096e+00,7.101231180932e-01,-7.302018322487e-01,7.306976698595e-01,1.292459100645e+00,8.590945000000e-03
0.318,-5.289367717540e-01,-6.480903307206e-01,-6.568797581868e-01,-6.993903016875e-01,-7.011518219567e-01,-6.840245512994e-01,-7.180132806529e-01,-7.236953109394e-01,-6.951149965293e-01,-7.158659251762e-01,1.481688000000e-04
0.698,-4.733559146561e-01,6.641131920958e-01,2.078394140563e+00,1.801911338189e-01,-4.438210511521e-01,1.647077158790e+00,8.358787584315e-01,-7.243316915039e-01,1.088955602437e+00,1.511885117783e+00,9.938079000000e-03
0.986,-5.475788326120e-01,-6.579890150400e-01,-6.879727325490e-01,-7.050956002473e-01,-7.120193291089e-01,-7.219323100242e-01,-7.276965522895e-01,-7.273935866686e-01,-7.283240430407e-01,-7.258791206350e-01,2.304998000000e-03
0.782,-5.358670410085e-01,-3.631560329058e-01,4.245677321184e-01,8.009079575383e-01,1.084010401385e-01,-6.801875165997e-01,-3.991208652144e-01,4.628243509255e-01,4.995820232127e-01,-3.420635108197e-01,5.293878000000e-03
0.234,-5.208249431445e-01,-6.576346596334e-01,-6.674680232483e-01,-6.734963070610e-01,-7.008264276152e-01,-7.221648522333e-01,-7.074310107984e-01,-6.914919181522e-01,-7.121331713536e-01,-7.323455357181e-01,1.481688000000e-04
0.724,-5.239607420338e-01,-1.860834696493e-01,5.324654125507e-01,2.690923456903e-02,-7.106653809057e-01,-9.441601666153e-02,3.770462713904e-01,-4.024275130820e-01,-6.312666951165e-01,2.410540205135e-01,4.411021000000e-03
0.142,1.970474917934e+00,-1.512539067918e-01,-6.679410020072e-01,5.691686251215e-02,1.093036201603e+00,1.535162611728e+00,9.753163754107e-01,-2.086024016923e-02,-6.963693532854e-01,-4.736681760202e-01,9.938079000000e-03
0.150,2.269565876747e+00,-1.979393836863e-01,-6.132251064502e-01,4.164308323351e-01,1.578908594959e+00,1.790706533060e+00,8.243189467166e-01,-3.409709691902e-01,-7.080121908573e-01,1.054836085184e-01,1.142776000000e-02
0.640,-4.258232799798e-01,9.717942158176e-01,1.152068331468e+00,-7.044994869762e-01,1.111614914697e+00,5.302452578392e-01,-5.569162096542e-01,1.448098948237e+00,-2.665247129085e-02,-1.526273580720e-01,8.590945000000e-03
0.206,-5.400524168524e-01,-6.579589470403e-01,-6.847540121718e-01,-6.972359277974e-01,-7.061545200885e-01,-7.216808284579e-01,-7.285272269073e-01,-7.239041626314e-01,-7.230310637114e-01,-7.264327077377e-01,3.738699000000e-05
0.440,2.105697825281e-02,1.102328810373e+00,-3.133689306461e-01,6.583669135464e-01,5.234402813417e-01,-1.442887161800e-01,1.224660797102e+00,-6.755604236049e-01,1.499756921022e+00,-6.261056639405e-01,8.590945000000e-03
0.506,-2.284553836129e-01,1.131789433462e+00,-6.779032163132e-01,1.140818518150e+00,-6.993201502084e-01,1.175593368483e+00,-7.009842074052e-01,1.148016593999e+00,-6.839874371300e-01,1.127973688552e+00,7.374760000000e-03
0.990,-5.475789274498e-01,-6.579933728478e-01,-6.880068871865e-01,-7.052266736975e-01,-7.123701889350e-01,-7.227068475261e-01,-7.291399280918e-01,-7.298943371484e-01,-7.323147488118e-01,-7.318693932232e-01,9.067953000000e-04
0.946,-5.475358043935e-01,-6.561941139211e-01,-6.751703296593e-01,-6.608372410085e-01,-6.061946657364e-01,-5.152416077875e-01,-3.904671105708e-01,-2.217481159317e-01,-3.896500228441e-02,1.502701042161e-01,4.411021000000e-03
0.432,-5.372962652796e-01,-6.287053832575e-01,-6.797897450310e-01,-6.849375100307e-01,-6.869441370408e-01,-7.170793969076e-01,-6.924981281920e-01,-7.301647184124e-01,-6.965376025956e-01,-7.250586184747e-01,1.481688000000e-04
0.626,-4.276681954729e-01,8.298905904895e-01,6.989827832055e-01,-6.494192064359e-01,1.069315721431e+00,-1.020701323521e-01,-1.791002160546e-01,1.129818133640e+00,-6.389126481446e-01,5.421904487255e-01,7.374760000000e-03
0.556,-3.599198261311e-01,8.603891489385e-01,-3.692733063122e-01,3.378012261686e-01,9.309891165750e-02,-1.965559465047e-01,6.074443976607e-01,-6.293129884111e-01,8.912308259743e-01,-7.161484326545e-01,6.278932000000e-03
0.272,1.334846705423e-01,-5.585209030621e-01,1.635644714728e-01,-4.720063628089e-02,-7.074544680991e-01,-1.530158890546e-01,4.068081102018e-01,-2.980014831582e-01,-6.900480348540e-01,1.310342890149e-01,4.411021000000e-03
0.354,-8.088593166981e-02,-1.748834085726e-01,1.128979449432e-01,-7.047663371034e-01,1.682123313252e-01,4.153927278279e-02,-7.006508095788e-01,3.164971421117e-01,-1.916098278800e-01,-5.937511392155e-01,4.411021000000e-03
0.070,4.846491938094e+00,2.883971039863e+00,1.009213992832e+00,-2.049831800769e-01,-6.969085179113e-01,-5.461102915850e-01,7.703012264420e-02,9.808017803655e-01,1.902986369015e+00,2.651018361928e+00,1.688323000000e-02
0.986,-5.475785443513e-01,-6.579757552308e-01,-6.878687036524e-01,-7.046959487841e-01,-7.109483559531e-01,-7.195653882943e-01,-7.232804824320e-01,-7.197330251642e-01,-7.160832657313e-01,-7.074771610970e-01,8.590945000000e-03
0.010,-3.253842173715e-01,-4.074573443216e-01,-4.461711316756e-01,-4.724959196807e-01,-4.932697659008e-01,-5.148725358281e-01,-5.392401100524e-01,-5.528589782131e-01,-5.695299095803e-01,-5.827427764612e-01,5.838736000000e-04
0.508,-3.593449855149e-01,4.145724813876e-01,-6.791671256316e-01,3.949081580611e-01,-6.984173787298e-01,4.031950076007e-01,-6.993133680340e-01,3.757153895454e-01,-6.812401109548e-01,3.524214559774e-01,4.411021000000e-03
0.892,-5.450699098043e-01,-5.675195374573e-01,-1.372832781914e-01,8.598999418962e-01,2.240487617730e+00,3.597426566768e+00,4.206286544479e+00,3.994621736344e+00,2.851954586739e+00,1.272968353857e+00,1.688323000000e-02
0.266,1.262329545332e+00,-4.501404790342e-01,1.443040339161e+00,1.157580228836e+00,-6.476100000343e-01,4.478427769923e-01,2.212778251766e+00,8.068629761485e-01,-7.293824552665e-01,1.006389468276e+00,1.142776000000e-02
0.624,-3.008549391280e-01,2.369716564974e+00,2.053175030731e+00,-5.624042700108e-01,2.925627524576e+00,4.069307232182e-01,5.256453635452e-01,2.954543336029e+00,-6.223925777734e-01,2.054411813419e+00,1.488622000000e-02
0.306,-4.270228027168e-01,-6.092360019343e-01,-4.960886207752e-01,-6.461169887147e-01,-6.758747753971e-01,-4.955096955334e-01,-6.042892660882e-01,-7.255594372017e-01,-5.450326969526e-01,-5.493520384645e-01,9.067953000000e-04
0.092,1.326395896580e+00,2.788623080712e-01,-4.346109425917e-01,-7.035408566286e-01,-5.684429449708e-01,-1.806566377434e-01,2.526117560097e-01,5.953474664870e-01,6.930724665056e-01,5.333991478642e-01,6.278932000000e-03
0.634,-4.366408600407e-01,7.800196885429e-01,8.114932894572e-01,-6.917522193640e-01,9.604092374508e-01,1.550799197642e-01,-4.341233314593e-01,1.186079755870e+00,-3.895987863288e-01,8.975919784362e-02,7.374760000000e-03
0.382,9.997585621941e-01,1.765289131168e+00,1.682398817773e+00,-3.728199801195e-01,3.572678292166e+00,1.752125368826e-01,1.207037414953e+00,3.107922557721e+00,-7.324246998670e-01,3.060882763608e+00,1.688323000000e-02
0.530,-5.355231664107e-01,-5.767733335147e-01,-6.824726277407e-01,-6.310421641124e-01,-6.982427070179e-01,-6.578311274466e-01,-7.012005336346e-01,-6.804978110111e-01,-6.884319467188e-01,-6.989282948265e-01,3.308325000000e-04
0.240,-5.214597424400e-01,-6.573528035517e-01,-6.659437750517e-01,-6.743741804616e-01,-7.035311595429e-01,-7.207728098233e-01,-7.029369059147e-01,-6.924559273781e-01,-7.182787104453e-01,-7.322890010405e-01,1.481688000000e-04
0.696,-5.340703090470e-01,-4.195620494256e-01,-1.978451049903e-01,-5.577256827199e-01,-6.565401613376e-01,-2.937975669611e-01,-4.693927641566e-01,-7.260926699224e-01,-3.874027058800e-01,-3.537576391655e-01,1.765334000000e-03
1.000,-5.475789383145e-01,-6.579938772880e-01,-6.880108789729e-01,-7.052421487027e-01,-7.124120449531e-01,-7.228002380951e-01,-7.293158838221e-01,-7.302026429556e-01,-7.328126216457e-01,-7.326269471647e-01,8.590945000000e-03
0.620,-4.852119568094e-01,9.045370363949e-02,-4.979816340516e-02,-6.533352876451e-01,1.890351882531e-01,-5.049203480491e-01,-3.506879536694e-01,1.214212969203e-01,-7.290938172571e-01,4.018395763635e-02,3.622794000000e-03
0.670,-4.826830633982e-01,3.544960944246e-01,9.321398983525e-01,-5.510957711997e-01,-2.876091185803e-03,8.362118440702e-01,-5.608927986522e-01,-4.142243092276e-02,8.525740397579e-01,-5.281703978638e-01,6.278932000000e-03
0.938,-5.474113288536e-01,-6.511425159125e-01,-6.401510425924e-01,-5.437679888571e-01,-3.368696492513e-01,-1.215342028851e-02,3.889920789840e-01,8.786573217538e-01,1.358910875620e+00,1.784814749626e+00,9.938079000000e-03
0.602,-5.117238868863e-01,-2.700576607723e-01,-4.424891314276e-01,-6.245053622796e-01,-2.728771439841e-01,-7.062608251655e-01,-3.844122867377e-01,-4.792250297576e-01,-6.572062289031e-01,-2.770062530125e-01,1.765334000000e-03
0.084,5.610694945954e-01,-4.211641887490e-02,-4.745452708414e-01,-6.866176353907e-01,-6.839386248494e-01,-5.300252974346e-01,-3.059498512771e-01,-7.846799434146e-02,6.234388936751e-02,8.557755361517e-02,3.622794000000e-03
