x,DLC_mode1,DLC_mode2,DLC_mode3,DLC_mode4,DLC_mode5,DLC_mode6,DLC_mode7,DLC_mode8,DLC_mode9,DLC_mode10
0.0000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.0001,1.000000000000e+00,9.993191676216e-01,9.987058087653e-01,9.980767800241e-01,9.974491490247e-01,9.968216407334e-01,9.961943340275e-01,9.955672247294e-01,9.949403125790e-01,9.943135980568e-01
0.0002,1.000000000000e+00,9.986383796989e-01,9.974120994946e-01,9.961548823723e-01,9.949008545307e-01,9.936474673470e-01,9.923948784391e-01,9.911430794625e-01,9.898920699010e-01,9.886418507151e-01
0.0003,1.000000000000e+00,9.979576363461e-01,9.961188727347e-01,9.942343083605e-01,9.923551189328e-01,9.904774836878e-01,9.886016388509e-01,9.867275719263e-01,9.848552821489e-01,9.829847709655e-01
0.0004,1.000000000000e+00,9.972769376778e-01,9.948261290334e-01,9.923150593085e-01,9.898119446553e-01,9.873116936236e-01,9.848146209181e-01,9.823207099139e-01,9.798299596132e-01,9.773423719630e-01
0.0005,1.000000000000e+00,9.965962838088e-01,9.935338689399e-01,9.903971365403e-01,9.872713341326e-01,9.841501010426e-01,9.810338303341e-01,9.779225012845e-01,9.748161126897e-01,9.717146670241e-01
0.0006,1.000000000000e+00,9.959156748540e-01,9.922420930044e-01,9.884805413836e-01,9.847332898090e-01,9.809927098537e-01,9.772592728303e-01,9.735329539620e-01,9.698137518788e-01,9.661016696244e-01
0.0007,1.000000000000e+00,9.952351109287e-01,9.909508017786e-01,9.865652751703e-01,9.821978141385e-01,9.778395239859e-01,9.734909541758e-01,9.691520759346e-01,9.648228877834e-01,9.605033933955e-01
0.0008,1.000000000000e+00,9.945545921481e-01,9.896599958154e-01,9.846513392364e-01,9.796649095848e-01,9.746905473883e-01,9.697288801768e-01,9.647798752540e-01,9.598435311076e-01,9.549198521231e-01
0.0009,1.000000000000e+00,9.938741186280e-01,9.883696756688e-01,9.827387349216e-01,9.771345786212e-01,9.715457840303e-01,9.659730566765e-01,9.604163600343e-01,9.548756926555e-01,9.493510597440e-01
