,pearson_r,spearman_r,mutual_info,lin_coef,lasso_coef,perm_importance_r2_drop,single_feature_cv_r2,abs_pearson_r,abs_spearman_r,abs_lin_coef,abs_lasso_coef,consensus_score
deltaf_mode1,-0.5842910212919002,-0.8255548362518307,0.9701768219729714,-0.20615453170054265,-0.20582546680636737,1.5362615189630395,0.3403789832287723,0.5842910212919002,0.8255548362518307,0.20615453170054265,0.20582546680636737,4.0
deltaf_mode2,-0.2207529826090045,-0.28724177402503015,0.6990988382888137,-0.024313472469358076,-0.02371238882315979,0.15600748442248205,0.04675665459005192,0.2207529826090045,0.28724177402503015,0.024313472469358076,0.02371238882315979,8.0
deltaf_mode3,-0.08480067473717742,-0.13465777901726653,0.5530930084048338,0.009623742972706802,0.00934367923244424,0.07696776163305596,0.004990507299276725,0.08480067473717742,0.13465777901726653,0.009623742972706802,0.00934367923244424,12.0
deltaf_mode4,-0.052689624983817025,-0.0865009557594358,0.4761435282613151,0.01458185189141804,0.014426797013114128,0.039220586133881866,0.00046938180147362287,0.052689624983817025,0.0865009557594358,0.01458185189141804,0.014426797013114128,16.0
deltaf_mode5,-0.0366698899370103,-0.06386957367250012,0.41664245505267683,0.015408744187487855,0.015272513729143506,0.02735824405651043,-0.0009070404532497856,0.0366698899370103,0.06386957367250012,0.015408744187487855,0.015272513729143506,20.0
deltaf_mode6,-0.025369305964653737,-0.05063213855479569,0.39301662036049567,0.016831795614929215,0.01672607341097088,0.016325495549547913,-0.001543510748355925,0.025369305964653737,0.05063213855479569,0.016831795614929215,0.01672607341097088,24.0
deltaf_mode7,-0.018765010270093006,-0.042943857481317474,0.36092512762653595,0.016624507030594406,0.01651935886000357,0.01534366356889868,-0.0018010988521079518,0.018765010270093006,0.042943857481317474,0.016624507030594406,0.01651935886000357,28.0
deltaf_mode8,-0.01278091939446778,-0.032950413336037356,0.333330023296881,0.01958056442502625,0.019489610576451547,0.009702293635343095,-0.0020243984369237465,0.01278091939446778,0.032950413336037356,0.01958056442502625,0.019489610576451547,33.0
deltaf_mode9,-0.006602318418546502,-0.024984386329775454,0.3040110882945637,0.02095089719149208,0.0208381496166961,0.01235532121564949,-0.0021890225423160546,0.006602318418546502,0.024984386329775454,0.02095089719149208,0.0208381496166961,36.0
deltaf_mode10,-0.012280691358393478,-0.028574794692295992,0.27275824137749183,0.022529831806500183,0.022417282384005952,0.008178853209015008,-0.002201678371035598,0.012280691358393478,0.028574794692295992,0.022529831806500183,0.022417282384005952,39.0
