,pearson_r,spearman_r,mutual_info,lin_coef,lasso_coef,perm_importance_r2_drop,single_feature_cv_r2,abs_pearson_r,abs_spearman_r,abs_lin_coef,abs_lasso_coef,consensus_score
fdam_mode1,0.5842910212915475,0.8255547976561604,0.969612306706551,0.20615453170051276,0.20582546680633682,1.5666063319779746,0.340378983228367,0.5842910212915475,0.8255547976561604,0.20615453170051276,0.20582546680633682,4.0
fdam_mode2,0.22075298260781628,0.28724176634038207,0.6989075166527794,0.024313472468868773,0.023712388822671182,0.15657879542223893,0.04675665458956022,0.22075298260781628,0.28724176634038207,0.024313472468868773,0.023712388822671182,8.0
fdam_mode3,0.08480067473754249,0.13465777901726653,0.5530930084048338,-0.009623742972671372,-0.009343679232408267,0.07572517149064761,0.004990507299334523,0.08480067473754249,0.13465777901726653,0.009623742972671372,0.009343679232408267,12.0
fdam_mode4,0.05268962498229458,0.08650095603839922,0.47613762873032783,-0.014581851891663233,-0.014426797013360845,0.033598655642085126,0.00046938180129076914,0.05268962498229458,0.08650095603839922,0.014581851891663233,0.014426797013360845,16.0
fdam_mode5,0.03666988993663768,0.06386957367250012,0.41664245505267683,-0.015408744187675474,-0.015272513729330688,0.025583559609622837,-0.0009070404532823595,0.03666988993663768,0.06386957367250012,0.015408744187675474,0.015272513729330688,20.0
fdam_mode6,0.025369305964770952,0.05063213855479569,0.39301662036049567,-0.016831795615009883,-0.016726073411050937,0.01561478433125148,-0.0015435107483740662,0.025369305964770952,0.05063213855479569,0.016831795615009883,0.016726073411050937,24.0
fdam_mode7,0.018765010270399132,0.042943857481317474,0.3612667343851186,-0.016624507030802992,-0.01651935886021099,0.014076645380885777,-0.0018010988520933858,0.018765010270399132,0.042943857481317474,0.016624507030802992,0.01651935886021099,28.0
fdam_mode8,0.012780919394620636,0.032950510070583215,0.3333419042967858,-0.01958056442499309,-0.01948961057641869,0.009888310773380444,-0.0020243984369216596,0.012780919394620636,0.032950510070583215,0.01958056442499309,0.01948961057641869,33.0
fdam_mode9,0.006602318418225784,0.024973374444183818,0.30400499421430727,-0.020950897191804888,-0.02083814961700917,0.011899803706863882,-0.0021890225423183197,0.006602318418225784,0.024973374444183818,0.020950897191804888,0.02083814961700917,36.0
fdam_mode10,0.012280691361672372,0.028574794692295992,0.27275824137749183,-0.022529831804935153,-0.022417282382442352,0.0077727223154237576,-0.0022016783709640554,0.012280691361672372,0.028574794692295992,0.022529831804935153,0.022417282382442352,39.0
