,pearson_r,spearman_r,mutual_info,lin_coef,lasso_coef,perm_importance_r2_drop,single_feature_cv_r2,abs_pearson_r,abs_spearman_r,abs_lin_coef,abs_lasso_coef,consensus_score
RFS_mode1,-0.5842910212918996,-0.8255548362518307,0.9701768219729714,-0.20615453170053918,-0.2058254668063639,1.5362615189630395,0.34037898322877114,0.5842910212918996,0.8255548362518307,0.20615453170053918,0.2058254668063639,4.0
RFS_mode2,-0.2207529826090065,-0.28724177402503015,0.6990988382888137,-0.02431347246935726,-0.02371238882315899,0.15600748442248205,0.04675665459005289,0.2207529826090065,0.28724177402503015,0.02431347246935726,0.02371238882315899,8.0
RFS_mode3,-0.08480067473717208,-0.13465777901726653,0.5530930084048338,0.009623742972708592,0.00934367923244611,0.07696776163305596,0.004990507299275771,0.08480067473717208,0.13465777901726653,0.009623742972708592,0.00934367923244611,12.0
RFS_mode4,-0.052689624983817636,-0.0865009557594358,0.4761435282613151,0.014581851891416475,0.014426797013112573,0.039220586133881866,0.00046938180147368944,0.052689624983817636,0.0865009557594358,0.014581851891416475,0.014426797013112573,16.0
RFS_mode5,-0.03666988993701052,-0.06386957367250012,0.41664245505267683,0.015408744187488376,0.015272513729144087,0.027358244056510432,-0.0009070404532497189,0.03666988993701052,0.06386957367250012,0.015408744187488376,0.015272513729144087,20.0
RFS_mode6,-0.02536930596464918,-0.05063213855479569,0.39301662036049567,0.016831795614928577,0.01672607341097027,0.016325495549547913,-0.0015435107483561029,0.02536930596464918,0.05063213855479569,0.016831795614928577,0.01672607341097027,24.0
RFS_mode7,-0.018765010270090966,-0.042943857481317474,0.36092512762653595,0.016624507030591158,0.016519358860000315,0.01534366356889868,-0.0018010988521079963,0.018765010270090966,0.042943857481317474,0.016624507030591158,0.016519358860000315,28.0
RFS_mode8,-0.01278091939446832,-0.032950413336037356,0.333330023296881,0.019580564425022946,0.01948961057644822,0.009702293635343095,-0.0020243984369237022,0.01278091939446832,0.032950413336037356,0.019580564425022946,0.01948961057644822,33.0
RFS_mode9,-0.006602318418542991,-0.024984386329775454,0.3040110882945637,0.020950897191491496,0.020838149616695497,0.01235532121564949,-0.002189022542315966,0.006602318418542991,0.024984386329775454,0.020950897191491496,0.020838149616695497,36.0
RFS_mode10,-0.012280691358393594,-0.028574794692295992,0.27275824137749183,0.022529831806501605,0.022417282384007357,0.008178853209015008,-0.0022016783710355537,0.012280691358393594,0.028574794692295992,0.022529831806501605,0.022417282384007357,39.0
