x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02,1.488622000000e-02
0.002,1.480436897303e-02,1.460291008915e-02,1.442254027932e-02,1.423866977664e-02,1.405632659103e-02,1.387513745497e-02,1.369512554272e-02,1.351628989151e-02,1.333863071048e-02,1.316214845198e-02,1.488622000000e-02
0.004,1.472274359684e-02,1.432232220652e-02,1.396619768795e-02,1.360552253159e-02,1.325024463550e-02,1.289963241255e-02,1.255373373123e-02,1.221254970848e-02,1.187608406606e-02,1.154434126504e-02,1.488622000000e-02
0.006,1.464134388015e-02,1.404445668254e-02,1.351719473434e-02,1.298678757612e-02,1.246799870840e-02,1.195975778695e-02,1.146214406202e-02,1.097516925866e-02,1.049884949305e-02,1.003320224172e-02,1.488622000000e-02
0.008,1.456016983736e-02,1.376931405265e-02,1.307553540449e-02,1.238247939087e-02,1.170962615457e-02,1.105559200612e-02,1.042050007131e-02,9.804386406584e-03,9.207292448667e-03,8.629260074923e-03,1.488622000000e-02
0.010,1.447922148848e-02,1.349689504439e-02,1.264122499783e-02,1.179261675770e-02,1.097517409020e-02,1.018723097464e-02,9.428971133497e-03,8.700470523407e-03,8.001807356810e-03,7.333053642547e-03,1.488622000000e-02
0.012,1.439849885901e-02,1.322720056450e-02,1.221426996592e-02,1.121722191208e-02,1.026469649739e-02,9.354780349605e-03,8.487735121395e-03,7.663687993341e-03,6.882754954320e-03,6.145026008160e-03,1.488622000000e-02
0.014,1.431800197988e-02,1.296023168631e-02,1.179467775373e-02,1.065631971607e-02,9.578251413161e-03,8.558348135664e-03,7.596961949681e-03,6.694269839987e-03,5.850404210682e-03,5.065427501524e-03,1.488622000000e-02
0.016,1.423773088729e-02,1.269598963710e-02,1.138245664373e-02,1.010993685219e-02,8.915898214161e-03,7.798037606049e-03,6.756798026258e-03,5.792381545140e-03,4.904879003981e-03,4.094228289321e-03,1.488622000000e-02
0.018,1.415768562269e-02,1.243447578570e-02,1.097761560272e-02,9.578101038345e-03,8.277694999101e-03,7.073940557537e-03,5.967351639081e-03,4.958095138372e-03,4.046109745368e-03,3.231040854969e-03,1.488622000000e-02
0.020,1.407786623264e-02,1.217569163016e-02,1.058016413137e-02,9.060840264149e-03,7.663696070602e-03,6.386130907913e-03,5.228679307422e-03,4.191363638017e-03,3.273790143755e-03,2.475052789339e-03,1.488622000000e-02
0.022,1.399827276872e-02,1.191963878558e-02,1.019011211663e-02,8.558182048950e-03,7.073949518599e-03,5.734658644883e-03,4.540773127297e-03,3.491997923336e-03,2.587339292733e-03,1.824970254223e-03,1.488622000000e-02
0.024,1.391890528744e-02,1.166631897204e-02,9.807469686886e-03,8.070152721865e-03,6.508494907451e-03,5.119544135667e-03,3.903549140518e-03,2.859646113869e-03,1.985869243877e-03,1.278972420121e-03,1.488622000000e-02
0.026,1.383976385014e-02,1.141573400267e-02,9.432247069975e-03,7.596776724188e-03,5.967361068975e-03,4.540772806516e-03,3.316836755836e-03,2.293775525559e-03,1.468158205339e-03,8.346771021992e-04,1.488622000000e-02
0.028,1.376084852292e-02,1.116788577190e-02,9.064454454110e-03,7.138075934551e-03,5.450564003669e-03,3.998290201214e-03,2.780369248849e-03,1.793657264412e-03,1.032629472988e-03,4.891177257698e-04,1.488622000000e-02
0.030,1.368215937651e-02,1.092277624373e-02,8.704101851658e-03,6.694069017187e-03,4.958104892418e-03,3.491997427342e-03,2.293775364885e-03,1.358353507423e-03,6.773361641616e-04,2.387316482179e-04,1.488622000000e-02
0.032,1.360369648619e-02,1.068040744025e-02,8.351198965879e-03,6.264770793716e-03,4.489968220908e-03,3.021746998527e-03,1.856572045965e-03,9.867075076460e-04,3.999517823262e-04,7.935975072489e-05,1.488622000000e-02
0.034,1.352545993172e-02,1.044078143021e-02,8.005755060632e-03,5.850191638814e-03,4.046120018961e-03,2.587339080308e-03,1.468158299262e-03,6.773363457299e-04,1.977665954294e-04,6.257093188282e-06,1.488622000000e-02
0.036,1.344744979721e-02,1.020390031778e-02,7.667778833077e-03,5.450336900181e-03,3.626506216882e-03,2.188518146390e-03,1.127810220309e-03,4.286264343729e-04,6.768976252476e-05,1.411430214573e-05,1.488622000000e-02
0.038,1.336966617105e-02,9.969766231384e-03,7.337278289422e-03,5.065206343180e-03,3.231051120844e-03,1.824970051208e-03,8.346771795609e-04,2.387317651251e-04,6.257093117246e-06,9.708923693401e-05,1.488622000000e-02
0.040,1.329210914581e-02,9.738381312723e-03,7.014260623745e-03,4.694793620551e-03,2.859656009163e-03,1.496319523613e-03,5.877791759165e-04,1.055748691353e-04,9.644272604264e-06,2.488483563266e-04,1.488622000000e-02
0.042,1.321477881815e-02,9.509747705906e-03,6.698732099923e-03,4.339085767557e-03,2.512197851176e-03,1.202128085392e-03,3.860053554574e-04,2.685044499988e-05,7.368533600364e-05,4.626170889412e-04,1.488622000000e-02
0.044,1.313767528873e-02,9.283867546722e-03,6.390697936719e-03,3.998062722942e-03,2.188528150265e-03,9.418923970690e-04,2.281136880914e-04,3.158810724326e-08,1.938961217023e-04,7.312383981022e-04,1.488622000000e-02
0.046,1.306079866211e-02,9.060742952048e-03,6.090162196048e-03,3.671696876048e-03,1.888471912353e-03,7.150430321161e-04,1.127317889866e-04,2.237853702256e-05,3.655023880401e-04,1.047238627722e-03,1.488622000000e-02
0.048,1.298414904667e-02,8.840376009393e-03,5.797127674469e-03,3.359952640424e-03,1.611826740988e-03,5.209436792958e-04,3.835886577286e-05,9.094983377123e-05,5.834722289151e-04,1.402899622085e-03,1.488622000000e-02
0.050,1.290772655451e-02,8.622768766590e-03,5.511595797941e-03,3.062786054256e-03,1.358362059905e-03,3.588907714166e-04,3.368766494029e-06,2.026157765824e-04,8.425523809729e-04,1.790336030929e-03,1.488622000000e-02
0.052,1.283153130136e-02,8.407923221613e-03,5.233566519872e-03,2.780144407887e-03,1.127818463687e-03,2.281135372656e-04,6.014097291518e-06,3.540740259749e-04,1.137307974980e-03,2.201576643406e-03,1.488622000000e-02
0.054,1.275556340649e-02,8.195841312548e-03,4.963038222505e-03,2.511965898731e-03,9.199071969098e-04,1.277744719481e-04,4.443137283778e-05,5.418672082165e-04,1.462165248273e-03,2.628648541733e-03,1.488622000000e-02
0.056,1.267982299264e-02,7.986524907695e-03,4.700007621677e-03,2.258179313805e-03,7.343097618413e-04,5.697021930057e-05,1.166471566798e-04,7.624023443632e-04,1.811456704265e-03,3.063662828476e-03,1.488622000000e-02
0.058,1.260431018588e-02,7.779975795822e-03,4.444469674976e-03,2.018703740096e-03,5.706776545259e-04,1.473285846269e-05,2.205851429462e-04,1.011971918471e-03,2.179468179310e-03,3.498900661410e-03,1.488622000000e-02
0.060,1.252902511557e-02,7.576195676551e-03,4.196417493345e-03,1.793448302970e-03,4.286322287463e-04,3.158511878663e-08,3.540741253713e-04,1.286776385346e-03,2.560487257227e-03,3.926898327042e-03,1.488622000000e-02
0.062,1.245396791426e-02,7.375186150897e-03,3.955842256156e-03,1.582311932762e-03,3.077646870803e-04,1.177477634568e-05,5.148567943449e-04,1.582947906497e-03,2.948852457679e-03,4.340530098534e-03,1.488622000000e-02
0.064,1.237913871757e-02,7.176948711954e-03,3.722733129786e-03,1.385183159669e-03,2.076361979470e-04,4.881242645446e-05,7.005992977510e-04,1.896575092942e-03,3.339002616762e-03,4.733087655806e-03,1.488622000000e-02
0.066,1.230453766415e-02,6.981484735713e-03,3.497077189737e-03,1.201939937060e-03,1.277781372311e-04,1.099389396924e-04,9.089014967609e-04,2.223728525263e-03,3.725525876581e-03,5.098354894632e-03,1.488622000000e-02
0.068,1.223016489553e-02,6.788795472046e-03,3.278859346310e-03,1.032449493222e-03,6.769245275278e-05,1.938962641896e-04,1.137307843529e-03,2.560486814988e-03,4.103207705501e-03,5.430677017134e-03,1.488622000000e-02
0.070,1.215602055610e-02,6.598882035824e-03,3.068062273888e-03,8.765682115821e-04,2.685214953586e-05,2.993773501026e-04,1.383318803945e-03,2.902962966963e-03,4.467077382026e-03,5.725022877176e-03,1.488622000000e-02
