x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05,3.738699000000e-05
0.002,3.718141977957e-05,3.667545243010e-05,3.622245064211e-05,3.576065680560e-05,3.530269885138e-05,3.484763931190e-05,3.439553638966e-05,3.394638766664e-05,3.350019366812e-05,3.305695553020e-05,3.738699000000e-05
0.004,3.697641628484e-05,3.597075127950e-05,3.507633860694e-05,3.417049693161e-05,3.327821056555e-05,3.239764211545e-05,3.152891180382e-05,3.067202243588e-05,2.982698335891e-05,2.899380577693e-05,3.738699000000e-05
0.006,3.677197953771e-05,3.527288737809e-05,3.394866019453e-05,3.261653376348e-05,3.131358686296e-05,3.003713130553e-05,2.878736612957e-05,2.756432078270e-05,2.636803574098e-05,2.519855489702e-05,3.738699000000e-05
0.008,3.656810957434e-05,3.458186207066e-05,3.283942541574e-05,3.109880366955e-05,2.940892153581e-05,2.776630385531e-05,2.617125986054e-05,2.462388010785e-05,2.312426866628e-05,2.167253071153e-05,3.738699000000e-05
0.010,3.636480644500e-05,3.389767718438e-05,3.174864758023e-05,2.961735382078e-05,2.756433291718e-05,2.558540063069e-05,2.368101838333e-05,2.185137694149e-05,2.009667273700e-05,1.841708662128e-05,3.738699000000e-05
0.012,3.616207021373e-05,3.322033499660e-05,3.067634289116e-05,2.817224006192e-05,2.577995658408e-05,2.349468699125e-05,2.131708842851e-05,1.924748031200e-05,1.728615394973e-05,1.543333538782e-05,3.738699000000e-05
0.014,3.595990095817e-05,3.254983820297e-05,2.962253004671e-05,2.676352483447e-05,2.405593829739e-05,2.149443419247e-05,1.907989673961e-05,1.681277043903e-05,1.469338782584e-05,1.272190571852e-05,3.738699000000e-05
0.016,3.575829876931e-05,3.188618988584e-05,2.858722984845e-05,2.539127515202e-05,2.239242718258e-05,1.958490160679e-05,1.696981102253e-05,1.454766293286e-05,1.231868548718e-05,1.028272268652e-05,3.738699000000e-05
0.018,3.555726375122e-05,3.122939348305e-05,2.757046481663e-05,2.405556062853e-05,2.078956915553e-05,1.776631978335e-05,1.498710324426e-05,1.245233869695e-05,1.016187216022e-05,8.114813037448e-06,3.738699000000e-05
0.020,3.535679602082e-05,3.057945275698e-05,2.657225881237e-05,2.275645156039e-05,1.924750059818e-05,1.603887436790e-05,1.313191535392e-05,1.052667973608e-05,8.222178589774e-06,6.216136392213e-06,3.738699000000e-05
0.022,3.515689570766e-05,2.993637176396e-05,2.559263666689e-05,2.149401706291e-05,1.776634228920e-05,1.440269090539e-05,1.140422750050e-05,8.770211070358e-06,6.498145819691e-06,4.583443254563e-06,3.738699000000e-05
0.024,3.495756295368e-05,2.930015482401e-05,2.463162381779e-05,2.026832326211e-05,1.634619359515e-05,1.285782054845e-05,9.803828821626e-06,7.182048946123e-06,4.987543752687e-06,3.212160580815e-06,3.738699000000e-05
0.026,3.475879791294e-05,2.867080649087e-05,2.368924595248e-05,1.907943154269e-05,1.498712692760e-05,1.140422669485e-05,8.330290874519e-06,5.760855518481e-06,3.687303838143e-06,2.096305473999e-06,3.738699000000e-05
0.028,3.456060075142e-05,2.804833152238e-05,2.276552865880e-05,1.792739685322e-05,1.368918247208e-05,1.004177257691e-05,6.982943776392e-06,4.504800157999e-06,2.593466157311e-06,1.228427332270e-06,3.738699000000e-05
0.030,3.436297164679e-05,2.743273485120e-05,2.186049708300e-05,1.681226606922e-05,1.245236319440e-05,8.770209824660e-06,5.760855114945e-06,3.411527506546e-06,1.701141081896e-06,5.995785192350e-07,3.738699000000e-05
0.032,3.416591078811e-05,2.682402155581e-05,2.097417559497e-05,1.573407641543e-05,1.127663013011e-05,7.589168023613e-06,4.662811681996e-06,2.478132374860e-06,1.004485577018e-06,1.993133385610e-07,3.738699000000e-05
0.034,3.396941837569e-05,2.622219683194e-05,2.010658746104e-05,1.469285394804e-05,1.016189796252e-05,6.498145286182e-06,3.687304074031e-06,1.701141537908e-06,4.966941053976e-07,1.571479398124e-08,3.738699000000e-05
