x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,9.320068703086e-03,5.840787452655e-02,1.635437309540e-01,3.204804330633e-01,5.297771604720e-01,7.913953382940e-01,1.105337339883e+00,1.471602890431e+00,1.890192302386e+00,2.361105262882e+00
0.002,9.268822839813e-03,5.729627401783e-02,1.584496297324e-01,3.065395416878e-01,5.002425590957e-01,7.376432096296e-01,1.016895735570e+00,1.336176092537e+00,1.693685643052e+00,2.087650053594e+00
0.004,9.217718253559e-03,5.619535371420e-02,1.534361360459e-01,2.929087271971e-01,4.715553699029e-01,6.857824858830e-01,9.321446712521e-01,1.207292613607e+00,1.507977356519e+00,1.831049448241e+00
0.006,9.166754949781e-03,5.510511491214e-02,1.485032774530e-01,2.795881900507e-01,4.437164674785e-01,6.358159801290e-01,8.510915347802e-01,1.084969240278e+00,1.333101653453e+00,1.591367493997e+00
0.008,9.115932937497e-03,5.402555971255e-02,1.436510977449e-01,2.665782419972e-01,4.167271808665e-01,5.877478618297e-01,7.737469840619e-01,9.692294870576e-01,1.169104938143e+00,1.368688046910e+00
0.010,9.065252229232e-03,5.295669096995e-02,1.388796551425e-01,2.538792873850e-01,3.905891868580e-01,5.415832295543e-01,7.001235955492e-01,8.600999830951e-01,1.016037292947e+00,1.163096578474e+00
0.012,9.014712840957e-03,5.189851224214e-02,1.341890205241e-01,2.414918049141e-01,3.653044065919e-01,4.973277003458e-01,6.302345767238e-01,7.576070622601e-01,8.739445227776e-01,9.746633630576e-01
0.014,8.964314792026e-03,5.085102774037e-02,1.295792756822e-01,2.294163298316e-01,3.408749055134e-01,4.549870160499e-01,5.640925441553e-01,6.617735627881e-01,7.428607802973e-01,8.034281054960e-01
0.016,8.914058105118e-03,4.981424228006e-02,1.250505116100e-01,2.176534365764e-01,3.173027967446e-01,4.145666669758e-01,5.017083689797e-01,5.726158436665e-01,6.228017950465e-01,6.493860739233e-01
0.018,8.863942806177e-03,4.878816123198e-02,1.206028268189e-01,2.062037218779e-01,2.945901479272e-01,3.760715333109e-01,4.430900918360e-01,4.901410255026e-01,5.137587309137e-01,5.124758042844e-01
0.020,8.813968924351e-03,4.777279047391e-02,1.162363256858e-01,1.950677883151e-01,2.727388916060e-01,3.395055447426e-01,3.882419094148e-01,4.143444638431e-01,4.156926962890e-01,3.925684402635e-01
0.022,8.764136491936e-03,4.676813634287e-02,1.119511168312e-01,1.842462283429e-01,2.517507392263e-01,3.048713587645e-01,3.371632348266e-01,3.452074628320e-01,3.285299300147e-01,2.894587660165e-01
0.024,8.714445544312e-03,4.577420558782e-02,1.077473115278e-01,1.737396087919e-01,2.316270988213e-01,2.721700581583e-01,2.898478339756e-01,2.826952367208e-01,2.521576839735e-01,2.028579795428e-01
0.026,8.664896119887e-03,4.479100532282e-02,1.036250221416e-01,1.635484558506e-01,2.123689964701e-01,2.414008681404e-01,2.462830400547e-01,2.267551261107e-01,1.864208199541e-01,1.323882422005e-01
