x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,1.511712007566e-04,9.473737594764e-04,2.652673813054e-03,5.198181840562e-03,8.592967716586e-03,1.283640575777e-02,1.792853445983e-02,2.386934936538e-02,3.065885554234e-02,3.829704791602e-02
0.002,1.503399945787e-04,9.293436366288e-04,2.570047662649e-03,4.972061051543e-03,8.113917476061e-03,1.196454803952e-02,1.649401461382e-02,2.167273126047e-02,2.747152414011e-02,3.386161362276e-02
0.004,1.495110799092e-04,9.114867463482e-04,2.488728963751e-03,4.750969699162e-03,7.648612232638e-03,1.112336884539e-02,1.511935520233e-02,1.958224556898e-02,2.445934198138e-02,2.969956043818e-02
0.006,1.486844568368e-04,8.938031096638e-04,2.408718163358e-03,4.534911034866e-03,7.197066172054e-03,1.031291380336e-02,1.380467605608e-02,1.759816456959e-02,2.162286396197e-02,2.581192720531e-02
0.008,1.478601255076e-04,8.762927606521e-04,2.330015971761e-03,4.323890115205e-03,6.759300851360e-03,9.533250541974e-03,1.255015004597e-02,1.572086966684e-02,1.896284275791e-02,2.220007406643e-02
0.010,1.470380861249e-04,8.589557456131e-04,2.252623333303e-03,4.117913498698e-03,6.335343468050e-03,8.784461759842e-03,1.135598116162e-02,1.395079278463e-02,1.648009070335e-02,1.886538736626e-02
0.012,1.462183389477e-04,8.417921222542e-04,2.176541397626e-03,3.916988949841e-03,5.925225182931e-03,8.066638565218e-03,1.022238362794e-02,1.228836105743e-02,1.417535075243e-02,1.580900695272e-02
0.014,1.454008842899e-04,8.248019588819e-04,2.101771491401e-03,3.721125150326e-03,5.528979497457e-03,7.379874090644e-03,9.149562085264e-03,1.073394492066e-02,1.204917686018e-02,1.303157683690e-02
0.016,1.445857225193e-04,8.079853336021e-04,2.028315090536e-03,3.530331417532e-03,5.146640686397e-03,6.724257388751e-03,8.137692863058e-03,9.287809716538e-03,1.010182415923e-02,1.053302026809e-02
0.018,1.437728540568e-04,7.913423335284e-04,1.956173792884e-03,3.344617430388e-03,4.778242286828e-03,6.099867616015e-03,7.186906380210e-03,7.950070941083e-03,8.333149328149e-03,8.312340301390e-03
0.020,1.429622793751e-04,7.748730539984e-04,1.885349291432e-03,3.163992962709e-03,4.423815644563e-03,5.506768511832e-03,6.297270706904e-03,6.720653261416e-03,6.742521546323e-03,6.367446891689e-03
0.022,1.421539989981e-04,7.585775977982e-04,1.815843348001e-03,2.988467624090e-03,4.083388519186e-03,4.945003180660e-03,5.468776323810e-03,5.599253431381e-03,5.328744410260e-03,4.695011444900e-03
0.024,1.413480134997e-04,7.424560743955e-04,1.747657767433e-03,2.818050608507e-03,3.756983748950e-03,4.414589185181e-03,4.701322114105e-03,4.585307227307e-03,4.089989149293e-03,3.290349602293e-03
0.026,1.405443235028e-04,7.265085991806e-04,1.680794372297e-03,2.652750450718e-03,3.444617976821e-03,3.915513958431e-03,3.994702622603e-03,3.677960515519e-03,3.023739426852e-03,2.147332833811e-03
0.028,1.397429296785e-04,7.107352927155e-04,1.615254978096e-03,2.492574790614e-03,3.146300438977e-03,3.447730542750e-03,3.348596614120e-03,2.876044548986e-03,2.126747948175e-03,1.258329178286e-03
0.030,1.389438327453e-04,6.951362799920e-04,1.551041369001e-03,2.337530145639e-03,2.862031817076e-03,3.011153663082e-03,2.762556960226e-03,2.178055572897e-03,1.395005018778e-03,6.141731998366e-04
0.032,1.381470334676e-04,6.797116896975e-04,1.488155274099e-03,2.187621691415e-03,2.591803155587e-03,2.605656141748e-03,2.236001879809e-03,1.582138798261e-03,8.237191119196e-04,2.041649375136e-04
0.034,1.373525326553e-04,6.644616534898e-04,1.426598344178e-03,2.042853050720e-03,2.335594845459e-03,2.231065661246e-03,1.768207554423e-03,1.086076779336e-03,4.073094096667e-04,1.609731668930e-05
0.036,1.365603311625e-04,6.493863052796e-04,1.366372129042e-03,1.903226090940e-03,2.093375675334e-03,1.887161880941e-03,1.358302134387e-03,6.872822052397e-04,1.394101827691e-04,3.631117272055e-05
0.038,1.357704298870e-04,6.344857805223e-04,1.307478055372e-03,1.768740730140e-03,1.865101951473e-03,1.573673912725e-03,1.005261145986e-03,3.827950887724e-04,1.288677138969e-05,2.497767169229e-04
0.040,1.349828297687e-04,6.197602155180e-04,1.249917405127e-03,1.639394751894e-03,1.650716687465e-03,1.290278159826e-03,7.079043041277e-04,1.692843069358e-04,1.986282350960e-05,6.401999584893e-04
0.042,1.341975317893e-04,6.052097467199e-04,1.193691294508e-03,1.515183628991e-03,1.450148864710e-03,1.036596521944e-03,4.648937283607e-04,4.305341801465e-05,1.517583424217e-04,1.190152289967e-03
0.044,1.334145369709e-04,5.908345100515e-04,1.138800653482e-03,1.396100356157e-03,1.263312764561e-03,8.121949688325e-04,2.747335534277e-04,5.065003523932e-08,3.993379908056e-04,1.881221154205e-03
0.046,1.326338463755e-04,5.766346402331e-04,1.085246205867e-03,1.282135291909e-03,1.090107372894e-03,6.165824832971e-04,1.357709185787e-04,3.588292518030e-05,7.527689981272e-04,2.694179442824e-03
0.048,1.318554611035e-04,5.626102701158e-04,1.033028450002e-03,1.173276009666e-03,9.304158577556e-04,4.492103733779e-04,4.619831272471e-05,1.458337547751e-04,1.201687922070e-03,3.609171035250e-03
0.050,1.310793822933e-04,5.487615300257e-04,9.821476399876e-04,1.069507158215e-03,7.841051205877e-04,3.094719522230e-04,4.057245303061e-06,3.248848101252e-04,1.735275424863e-03,4.605909677691e-03
0.052,1.303056111204e-04,5.350885471159e-04,9.326037675206e-04,9.708103316503e-04,6.510254214054e-04,1.967025828706e-04,7.243205497149e-06,5.677409461367e-04,2.342338143065e-03,5.663888227052e-03
