x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.034097193735e+00,2.528125598920e+01,7.078824492745e+01,1.387167044423e+02,2.293086697588e+02,3.425474441288e+02,4.784340548346e+02,6.369683829276e+02,8.181505636487e+02,1.021980461577e+03
0.002,4.034148439599e+00,2.528236758971e+01,7.079333902867e+01,1.387306453337e+02,2.293382043602e+02,3.426011962575e+02,4.785224964389e+02,6.371038097255e+02,8.183470703080e+02,1.022253916786e+03
0.004,4.034199544185e+00,2.528346851001e+01,7.079835252236e+01,1.387442761481e+02,2.293668915494e+02,3.426530569812e+02,4.786072475032e+02,6.372326932044e+02,8.185327785946e+02,1.022510517391e+03
0.006,4.034250507489e+00,2.528455874881e+01,7.080328538095e+01,1.387575966853e+02,2.293947304518e+02,3.427030234870e+02,4.786883006397e+02,6.373550165777e+02,8.187076542976e+02,1.022750199346e+03
0.008,4.034301329501e+00,2.528563830401e+01,7.080813756066e+01,1.387706066333e+02,2.294217197384e+02,3.427510916053e+02,4.787656451904e+02,6.374707563309e+02,8.188716510129e+02,1.022972878793e+03
0.010,4.034352010209e+00,2.528670717275e+01,7.081290900326e+01,1.387833055880e+02,2.294478577324e+02,3.427972562375e+02,4.788392685789e+02,6.375798858349e+02,8.190247186581e+02,1.023178470261e+03
0.012,4.034402549597e+00,2.528776535148e+01,7.081759963788e+01,1.387956930704e+02,2.294731425127e+02,3.428415117667e+02,4.789091575978e+02,6.376823787557e+02,8.191668114283e+02,1.023366903477e+03
0.014,4.034452947646e+00,2.528881283598e+01,7.082220938272e+01,1.388077685455e+02,2.294975720137e+02,3.428838524510e+02,4.789752996303e+02,6.377782122552e+02,8.192978951708e+02,1.023538138734e+03
0.016,4.034503204333e+00,2.528984962144e+01,7.082673814680e+01,1.388195314388e+02,2.295211441225e+02,3.429242728001e+02,4.790376838055e+02,6.378673699743e+02,8.194179541560e+02,1.023692180766e+03
0.018,4.034553319632e+00,2.529087570249e+01,7.083118583159e+01,1.388309811535e+02,2.295438567713e+02,3.429627679338e+02,4.790963020827e+02,6.379498447925e+02,8.195269972202e+02,1.023829091035e+03
0.020,4.034603293514e+00,2.529189107325e+01,7.083555233272e+01,1.388421170870e+02,2.295657080277e+02,3.429993339224e+02,4.791511502651e+02,6.380256413542e+02,8.196250632548e+02,1.023948998399e+03
0.022,4.034653125946e+00,2.529289572738e+01,7.083983754158e+01,1.388529386470e+02,2.295866961800e+02,3.430339681083e+02,4.792022289397e+02,6.380947783552e+02,8.197122260211e+02,1.024052108074e+03
0.024,4.034702816894e+00,2.529388965814e+01,7.084404134688e+01,1.388634452665e+02,2.296068198204e+02,3.430666694089e+02,4.792495443405e+02,6.381572905813e+02,8.197885982671e+02,1.024138708860e+03
0.026,4.034752366319e+00,2.529487285840e+01,7.084816363626e+01,1.388736364195e+02,2.296260779228e+02,3.430974385990e+02,4.792931091344e+02,6.382132306919e+02,8.198543351311e+02,1.024209178597e+03
0.028,4.034801774178e+00,2.529584532074e+01,7.085220429780e+01,1.388835116348e+02,2.296444699177e+02,3.431262785734e+02,4.793329431263e+02,6.382626707431e+02,8.199096368167e+02,1.024263987814e+03
0.030,4.034851040429e+00,2.529680703746e+01,7.085616322150e+01,1.388930705107e+02,2.296619957630e+02,3.431531945898e+02,4.793690738828e+02,6.383057034449e+02,8.199547505311e+02,1.024303701582e+03
0.032,4.034900165024e+00,2.529775800061e+01,7.086004030074e+01,1.389023127280e+02,2.296786560110e+02,3.431781944888e+02,4.794015372720e+02,6.383424431497e+02,8.199899716835e+02,1.024328979579e+03
0.034,4.034949147913e+00,2.529869820208e+01,7.086383543377e+01,1.389112380635e+02,2.296944518705e+02,3.432012888944e+02,4.794303779191e+02,6.383730265682e+02,8.200156443448e+02,1.024340574401e+03
0.036,4.034997989044e+00,2.529962763361e+01,7.086754852502e+01,1.389198464019e+02,2.297093852659e+02,3.432224913909e+02,4.794556495757e+02,6.383976132144e+02,8.200321609775e+02,1.024339328168e+03
0.038,4.035046688360e+00,2.530054628686e+01,7.087117948653e+01,1.389281377484e+02,2.297234588909e+02,3.432418186793e+02,4.794774154031e+02,6.384163855786e+02,8.200399614506e+02,1.024326167503e+03
0.040,4.035095245805e+00,2.530145415341e+01,7.087472823929e+01,1.389361122395e+02,2.297366762588e+02,3.432592907102e+02,4.794957481688e+02,6.384295490327e+02,8.200395313602e+02,1.024302096970e+03
0.042,4.035143661317e+00,2.530235122487e+01,7.087819471446e+01,1.389437701545e+02,2.297490417483e+02,3.432749307943e+02,4.795107303562e+02,6.384373314711e+02,8.200313996837e+02,1.024268191084e+03
0.044,4.035191934834e+00,2.530323749284e+01,7.088157885471e+01,1.389511119251e+02,2.297605606440e+02,3.432887656907e+02,4.795224541891e+02,6.384399826953e+02,8.200161358019e+02,1.024225585024e+03
0.046,4.035240066290e+00,2.530411294902e+01,7.088488061542e+01,1.389581381459e+02,2.297712391736e+02,3.433008256716e+02,4.795310215703e+02,6.384377735492e+02,8.199943459289e+02,1.024175464187e+03
0.048,4.035288055617e+00,2.530497758522e+01,7.088809996586e+01,1.389648495829e+02,2.297810845402e+02,3.433111445654e+02,4.795365439372e+02,6.384309948157e+02,8.199666689958e+02,1.024119052751e+03
0.050,4.035335902745e+00,2.530583139341e+01,7.089123689037e+01,1.389712471826e+02,2.297901049496e+02,3.433197597757e+02,4.795391420355e+02,6.384199558868e+02,8.199337720408e+02,1.024057601412e+03
0.052,4.035383607602e+00,2.530667436575e+01,7.089429138947e+01,1.389773320797e+02,2.297983096337e+02,3.433267122790e+02,4.795389456134e+02,6.384049832210e+02,8.198963451618e+02,1.023992374486e+03
0.054,4.035431170113e+00,2.530750649462e+01,7.089726348091e+01,1.389831056048e+02,2.298057088687e+02,3.433320465995e+02,4.795360930391e+02,6.383864186028e+02,8.198550960927e+02,1.023924636557e+03
0.056,4.035478590201e+00,2.530832777271e+01,7.090015320078e+01,1.389885692910e+02,2.298123139896e+02,3.433358107623e+02,4.795307308449e+02,6.383646172225e+02,8.198107444694e+02,1.023855638886e+03
0.058,4.035525867787e+00,2.530913819300e+01,7.090296060449e+01,1.389937248802e+02,2.298181373990e+02,3.433380562249e+02,4.795230132015e+02,6.383399455929e+02,8.197640158535e+02,1.023786605757e+03
0.060,4.035573002790e+00,2.530993774880e+01,7.090568576771e+01,1.389985743289e+02,2.298231925723e+02,3.433388377879e+02,4.795131013262e+02,6.383127793245e+02,8.197156355845e+02,1.023718720992e+03
0.062,4.035619995128e+00,2.531072643385e+01,7.090832878736e+01,1.390031198129e+02,2.298274940580e+02,3.433382134853e+02,4.795011628295e+02,6.382835007792e+02,8.196663225344e+02,1.023653114804e+03
0.064,4.035666844714e+00,2.531150424228e+01,7.091088978244e+01,1.390073637321e+02,2.298310574735e+02,3.433362444546e+02,4.794873710056e+02,6.382524966241e+02,8.196167828374e+02,1.023590851200e+03
0.066,4.035713551463e+00,2.531227116870e+01,7.091336889496e+01,1.390113087139e+02,2.298338994963e+02,3.433329947890e+02,4.794719040705e+02,6.382201553086e+02,8.195677036696e+02,1.023532916116e+03
0.068,4.035760115286e+00,2.531302720820e+01,7.091576629069e+01,1.390149576168e+02,2.298360378513e+02,3.433285313701e+02,4.794549443545e+02,6.381868644885e+02,8.195197471510e+02,1.023480206462e+03
0.070,4.035806536093e+00,2.531377235641e+01,7.091808215998e+01,1.390183135326e+02,2.298374912935e+02,3.433229236846e+02,4.794366774540e+02,6.381530084192e+02,8.194735444440e+02,1.023433520227e+03
0.072,4.035852813791e+00,2.531450660952e+01,7.092031671846e+01,1.390213797886e+02,2.298382795863e+02,3.433162436239e+02,4.794172913486e+02,6.381189653446e+02,8.194296901151e+02,1.023393547814e+03
