x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.043266091238e+00,2.533871648996e+01,7.094913598459e+01,1.390319866935e+02,2.298298539515e+02,3.433260030613e+02,4.795214636400e+02,6.384161164686e+02,8.200100970955e+02,1.024303269792e+03
0.002,4.043266922444e+00,2.533873452009e+01,7.094921861074e+01,1.390322128143e+02,2.298303330018e+02,3.433268749191e+02,4.795228981599e+02,6.384183130867e+02,8.200132844269e+02,1.024307705226e+03
0.004,4.043267751358e+00,2.533875237698e+01,7.094929992944e+01,1.390324339056e+02,2.298307983070e+02,3.433277160982e+02,4.795242728193e+02,6.384204035724e+02,8.200162966091e+02,1.024311867279e+03
0.006,4.043268577982e+00,2.533877006061e+01,7.094937994024e+01,1.390326499643e+02,2.298312498531e+02,3.433285265533e+02,4.795255874984e+02,6.384223876534e+02,8.200191330871e+02,1.024315754912e+03
0.008,4.043269402313e+00,2.533878757096e+01,7.094945864243e+01,1.390328609852e+02,2.298316876184e+02,3.433293062166e+02,4.795268420244e+02,6.384242649483e+02,8.200217931083e+02,1.024319366766e+03
0.010,4.043270224352e+00,2.533880490798e+01,7.094953603507e+01,1.390330669618e+02,2.298321115758e+02,3.433300550053e+02,4.795280361933e+02,6.384260350252e+02,8.200242758604e+02,1.024322701452e+03
0.012,4.043271044099e+00,2.533882207160e+01,7.094961211701e+01,1.390332678864e+02,2.298325216941e+02,3.433307728285e+02,4.795291697909e+02,6.384276974569e+02,8.200265806003e+02,1.024325757833e+03
0.014,4.043271861554e+00,2.533883906176e+01,7.094968688691e+01,1.390334637502e+02,2.298329179398e+02,3.433314595930e+02,4.795302426124e+02,6.384292518731e+02,8.200287067742e+02,1.024328535263e+03
0.016,4.043272676716e+00,2.533885587839e+01,7.094976034332e+01,1.390336545439e+02,2.298333002786e+02,3.433321152097e+02,4.795312544816e+02,6.384306980083e+02,8.200306541269e+02,1.024331033819e+03
0.018,4.043273489584e+00,2.533887252139e+01,7.094983248461e+01,1.390338402579e+02,2.298336686770e+02,3.433327395995e+02,4.795322052681e+02,6.384320357471e+02,8.200324228018e+02,1.024333254499e+03
0.020,4.043274300159e+00,2.533888899067e+01,7.094990330911e+01,1.390340208824e+02,2.298340231036e+02,3.433333326986e+02,4.795330949038e+02,6.384332651647e+02,8.200340134295e+02,1.024335199393e+03
0.022,4.043275108439e+00,2.533890528613e+01,7.094997281506e+01,1.390341964077e+02,2.298343635307e+02,3.433338944639e+02,4.795339233982e+02,6.384343865646e+02,8.200354272067e+02,1.024336871828e+03
0.024,4.043275914425e+00,2.533892140765e+01,7.095004100064e+01,1.390343668247e+02,2.298346899355e+02,3.433344248779e+02,4.795346908524e+02,6.384354005108e+02,8.200366659619e+02,1.024338276490e+03
0.026,4.043276718115e+00,2.533893735512e+01,7.095010786403e+01,1.390345321249e+02,2.298350023013e+02,3.433349239531e+02,4.795353974719e+02,6.384363078575e+02,8.200377322117e+02,1.024339419507e+03
0.028,4.043277519509e+00,2.533895312843e+01,7.095017340343e+01,1.390346923005e+02,2.298353006188e+02,3.433353917366e+02,4.795360435779e+02,6.384371097735e+02,8.200386292031e+02,1.024340308510e+03
0.030,4.043278318606e+00,2.533896872744e+01,7.095023761704e+01,1.390348473452e+02,2.298355848874e+02,3.433358283134e+02,4.795366296175e+02,6.384378077624e+02,8.200393609461e+02,1.024340952666e+03
0.032,4.043279115405e+00,2.533898415203e+01,7.095030050313e+01,1.390349972536e+02,2.298358551161e+02,3.433362338110e+02,4.795371561726e+02,6.384384036792e+02,8.200399322320e+02,1.024341362675e+03
0.034,4.043279909906e+00,2.533899940207e+01,7.095036206006e+01,1.390351420223e+02,2.298361113244e+02,3.433366084014e+02,4.795376239669e+02,6.384388997412e+02,8.200403486417e+02,1.024341550742e+03
0.036,4.043280702107e+00,2.533901447742e+01,7.095042228628e+01,1.390352816492e+02,2.298363535436e+02,3.433369523052e+02,4.795380338724e+02,6.384392985358e+02,8.200406165409e+02,1.024341530528e+03
0.038,4.043281492009e+00,2.533902937794e+01,7.095048118035e+01,1.390354161346e+02,2.298365818173e+02,3.433372657932e+02,4.795383869133e+02,6.384396030229e+02,8.200407430643e+02,1.024341317063e+03
0.040,4.043282279609e+00,2.533904410351e+01,7.095053874100e+01,1.390355454806e+02,2.298367962026e+02,3.433375491889e+02,4.795386842702e+02,6.384398165337e+02,8.200407360883e+02,1.024340926640e+03
0.042,4.043283064907e+00,2.533905865398e+01,7.095059496711e+01,1.390356696917e+02,2.298369967704e+02,3.433378028706e+02,4.795389272808e+02,6.384399427646e+02,8.200406041927e+02,1.024340376687e+03
0.044,4.043283847901e+00,2.533907302921e+01,7.095064985775e+01,1.390357887750e+02,2.298371836065e+02,3.433380272721e+02,4.795391174409e+02,6.384399857674e+02,8.200403566131e+02,1.024339685618e+03
0.046,4.043284628592e+00,2.533908722908e+01,7.095070341220e+01,1.390359027400e+02,2.298373568119e+02,3.433382228846e+02,4.795392564036e+02,6.384399499351e+02,8.200400031821e+02,1.024338872660e+03
0.048,4.043285406977e+00,2.533910125345e+01,7.095075562996e+01,1.390360115993e+02,2.298375165034e+02,3.433383902567e+02,4.795393459762e+02,6.384398399843e+02,8.200395542632e+02,1.024337957669e+03
0.050,4.043286183056e+00,2.533911510219e+01,7.095080651077e+01,1.390361153682e+02,2.298376628141e+02,3.433385299951e+02,4.795393881172e+02,6.384396609332e+02,8.200390206757e+02,1.024336960930e+03
0.052,4.043286956827e+00,2.533912877518e+01,7.095085605464e+01,1.390362140650e+02,2.298377958938e+02,3.433386427645e+02,4.795393849313e+02,6.384394180771e+02,8.200384136129e+02,1.024335902951e+03
0.054,4.043287728290e+00,2.533914227228e+01,7.095090426186e+01,1.390363077114e+02,2.298379159092e+02,3.433387292870e+02,4.795393386626e+02,6.384391169596e+02,8.200377445544e+02,1.024334804244e+03
0.056,4.043288497442e+00,2.533915559338e+01,7.095095113302e+01,1.390363963322e+02,2.298380230440e+02,3.433387903416e+02,4.795392516880e+02,6.384387633419e+02,8.200370251726e+02,1.024333685105e+03
0.058,4.043289264283e+00,2.533916873837e+01,7.095099666901e+01,1.390364799557e+02,2.298381174995e+02,3.433388267629e+02,4.795391265081e+02,6.384383631689e+02,8.200362672360e+02,1.024332565390e+03
0.060,4.043290028811e+00,2.533918170714e+01,7.095104087107e+01,1.390365586136e+02,2.298381994943e+02,3.433388394399e+02,4.795389657378e+02,6.384379225330e+02,8.200354825097e+02,1.024331464301e+03
